Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Thu, Mar 7, 2024",7:00p,Brooklyn Nets,112,Detroit Pistons,118,Box Score,,"19,011",2:14,Little Caesars Arena,
"Thu, Mar 7, 2024",7:00p,Minnesota Timberwolves,113,Indiana Pacers,111,Box Score,,"16,580",2:23,Gainbridge Fieldhouse,
"Thu, Mar 7, 2024",7:30p,Miami Heat,108,Dallas Mavericks,114,Box Score,,"20,221",2:23,American Airlines Center,
"Thu, Mar 7, 2024",9:00p,Toronto Raptors,113,Phoenix Suns,120,Box Score,,"17,071",2:16,Footprint Center,
"Thu, Mar 7, 2024",10:00p,Boston Celtics,109,Denver Nuggets,115,Box Score,,"19,855",2:24,Ball Arena,
"Thu, Mar 7, 2024",10:00p,Chicago Bulls,125,Golden State Warriors,122,Box Score,,"18,064",2:17,Chase Center,
"Thu, Mar 7, 2024",10:00p,San Antonio Spurs,129,Sacramento Kings,131,Box Score,,"17,968",2:16,Golden 1 Center,
"Fri, Mar 8, 2024",7:00p,New Orleans Pelicans,103,Philadelphia 76ers,95,Box Score,,"19,777",2:15,Wells Fargo Center,
"Fri, Mar 8, 2024",7:00p,Charlotte Hornets,100,Washington Wizards,112,Box Score,,"18,778",2:07,Capital One Arena,
"Fri, Mar 8, 2024",7:30p,Minnesota Timberwolves,104,Cleveland Cavaliers,113,Box Score,OT,"19,432",2:49,Rocket Mortgage Fieldhouse,
"Fri, Mar 8, 2024",7:30p,Orlando Magic,74,New York Knicks,98,Box Score,,"19,812",2:03,Madison Square Garden (IV),
"Fri, Mar 8, 2024",8:00p,Atlanta Hawks,99,Memphis Grizzlies,92,Box Score,,"16,667",2:12,FedEx Forum,
"Fri, Mar 8, 2024",8:00p,Miami Heat,100,Oklahoma City Thunder,107,Box Score,,"18,203",2:07,Paycom Center,
"Fri, Mar 8, 2024",10:00p,Milwaukee Bucks,122,Los Angeles Lakers,123,Box Score,,"18,997",2:20,Crypto.com Arena,
"Fri, Mar 8, 2024",10:00p,Houston Rockets,123,Portland Trail Blazers,107,Box Score,,"18,139",2:06,Moda Center,
