Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Thu, Dec 29, 2022",7:00p,Cleveland Cavaliers,126,Indiana Pacers,135,Box Score,,"17,274",2:10,Gainbridge Fieldhouse,
"Thu, Dec 29, 2022",7:30p,Los Angeles Clippers,110,Boston Celtics,116,Box Score,,"19,156",2:11,TD Garden,
"Thu, Dec 29, 2022",7:30p,Memphis Grizzlies,119,Toronto Raptors,106,Box Score,,"19,800",2:11,Scotiabank Arena,
"Thu, Dec 29, 2022",8:00p,New York Knicks,115,San Antonio Spurs,122,Box Score,,"18,354",2:19,AT&T Center,
"Thu, Dec 29, 2022",8:30p,Houston Rockets,114,Dallas Mavericks,129,Box Score,,"20,307",2:12,American Airlines Center,
"Fri, Dec 30, 2022",7:00p,Washington Wizards,119,Orlando Magic,100,Box Score,,"19,040",2:10,Amway Center,
"Fri, Dec 30, 2022",7:30p,Los Angeles Lakers,130,Atlanta Hawks,121,Box Score,,"17,984",2:10,State Farm Arena,
"Fri, Dec 30, 2022",7:30p,Phoenix Suns,104,Toronto Raptors,113,Box Score,,"19,800",2:19,Scotiabank Arena,
"Fri, Dec 30, 2022",8:00p,Detroit Pistons,118,Chicago Bulls,132,Box Score,,"21,667",2:09,United Center,
"Fri, Dec 30, 2022",8:00p,Minnesota Timberwolves,114,Milwaukee Bucks,123,Box Score,,"18,018",2:29,Fiserv Forum,
"Fri, Dec 30, 2022",8:30p,Philadelphia 76ers,116,New Orleans Pelicans,127,Box Score,,"18,656",2:18,Smoothie King Center,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Fri, Dec 30, 2022",9:00p,Miami Heat,119,Denver Nuggets,124,Box Score,,"19,638",2:16,Ball Arena,
"Fri, Dec 30, 2022",10:00p,Portland Trail Blazers,112,Golden State Warriors,118,Box Score,,"18,064",2:16,Chase Center,
"Fri, Dec 30, 2022",10:00p,Utah Jazz,125,Sacramento Kings,126,Box Score,,"17,946",2:19,Golden 1 Center,
"Sat, Dec 31, 2022",3:00p,Los Angeles Clippers,130,Indiana Pacers,131,Box Score,,"16,731",2:18,Gainbridge Fieldhouse,
"Sat, Dec 31, 2022",7:00p,Cleveland Cavaliers,103,Chicago Bulls,102,Box Score,,"21,524",2:11,United Center,
"Sat, Dec 31, 2022",7:00p,Brooklyn Nets,123,Charlotte Hornets,106,Box Score,,"19,386",2:05,Spectrum Center,
"Sat, Dec 31, 2022",7:00p,New York Knicks,108,Houston Rockets,88,Box Score,,"18,055",2:13,Toyota Center,
"Sat, Dec 31, 2022",7:00p,Dallas Mavericks,126,San Antonio Spurs,125,Box Score,,"18,354",2:18,AT&T Center,
"Sat, Dec 31, 2022",8:00p,New Orleans Pelicans,101,Memphis Grizzlies,116,Box Score,,"17,951",2:37,FedEx Forum,
"Sat, Dec 31, 2022",8:00p,Detroit Pistons,116,Minnesota Timberwolves,104,Box Score,,"16,233",2:17,Target Center,
"Sat, Dec 31, 2022",8:00p,Philadelphia 76ers,115,Oklahoma City Thunder,96,Box Score,,"17,147",2:08,Paycom Center,
"Sat, Dec 31, 2022",9:00p,Miami Heat,126,Utah Jazz,123,Box Score,,"18,206",2:26,Vivint Arena,
