Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Wed, Jan 10, 2024",7:00p,Sacramento Kings,123,Charlotte Hornets,98,Box Score,,"14,173",2:02,Spectrum Center,
"Wed, Jan 10, 2024",7:00p,San Antonio Spurs,130,Detroit Pistons,108,Box Score,,"17,833",2:05,Little Caesars Arena,
"Wed, Jan 10, 2024",7:00p,Washington Wizards,104,Indiana Pacers,112,Box Score,,"15,721",2:17,Gainbridge Fieldhouse,
"Wed, Jan 10, 2024",7:30p,Philadelphia 76ers,132,Atlanta Hawks,139,Box Score,OT,"16,089",2:37,State Farm Arena,
"Wed, Jan 10, 2024",7:30p,Oklahoma City Thunder,128,Miami Heat,120,Box Score,,"19,636",2:14,Kaseya Center,
"Wed, Jan 10, 2024",8:00p,Houston Rockets,119,Chicago Bulls,124,Box Score,OT,"21,149",2:36,United Center,
"Wed, Jan 10, 2024",8:30p,New Orleans Pelicans,141,Golden State Warriors,105,Box Score,,"18,064",2:13,Chase Center,
"Wed, Jan 10, 2024",10:00p,Denver Nuggets,111,Utah Jazz,124,Box Score,,"18,206",2:23,Delta Center,
"Wed, Jan 10, 2024",10:30p,Toronto Raptors,120,Los Angeles Clippers,126,Box Score,,"19,370",2:07,Crypto.com Arena,
"Thu, Jan 11, 2024",2:00p,Brooklyn Nets,102,Cleveland Cavaliers,111,Box Score,,"15,887",2:31,AccorHotels Arena,"at Paris, France"
"Thu, Jan 11, 2024",7:30p,Boston Celtics,102,Milwaukee Bucks,135,Box Score,,"17,781",2:12,Fiserv Forum,
"Thu, Jan 11, 2024",8:00p,Portland Trail Blazers,77,Oklahoma City Thunder,139,Box Score,,"15,828",1:58,Paycom Center,
"Thu, Jan 11, 2024",8:30p,New York Knicks,124,Dallas Mavericks,128,Box Score,,"20,040",2:24,American Airlines Center,
"Thu, Jan 11, 2024",10:00p,Phoenix Suns,127,Los Angeles Lakers,109,Box Score,,"18,416",2:19,Crypto.com Arena,
"Fri, Jan 12, 2024",7:30p,Indiana Pacers,126,Atlanta Hawks,108,Box Score,,"15,596",2:06,State Farm Arena,
"Fri, Jan 12, 2024",7:30p,Houston Rockets,112,Detroit Pistons,110,Box Score,,"13,987",2:10,Little Caesars Arena,
"Fri, Jan 12, 2024",7:30p,Sacramento Kings,93,Philadelphia 76ers,112,Box Score,,"19,766",2:16,Wells Fargo Center,
"Fri, Jan 12, 2024",8:00p,Golden State Warriors,140,Chicago Bulls,131,Box Score,,"21,153",2:19,United Center,
"Fri, Jan 12, 2024",8:00p,Los Angeles Clippers,128,Memphis Grizzlies,119,Box Score,,"16,617",2:07,FedEx Forum,
"Fri, Jan 12, 2024",8:00p,Orlando Magic,96,Miami Heat,99,Box Score,,"19,650",2:27,Kaseya Center,
"Fri, Jan 12, 2024",8:00p,Portland Trail Blazers,93,Minnesota Timberwolves,116,Box Score,,"18,024",2:12,Target Center,
"Fri, Jan 12, 2024",8:00p,Charlotte Hornets,99,San Antonio Spurs,135,Box Score,,"18,073",2:21,Frost Bank Center,
"Fri, Jan 12, 2024",9:30p,Toronto Raptors,113,Utah Jazz,145,Box Score,,"18,206",2:10,Delta Center,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Fri, Jan 12, 2024",10:00p,New Orleans Pelicans,113,Denver Nuggets,125,Box Score,,"19,638",2:16,Ball Arena,
"Sat, Jan 13, 2024",7:00p,Houston Rockets,113,Boston Celtics,145,Box Score,,"19,156",2:06,TD Garden,
"Sat, Jan 13, 2024",7:30p,Washington Wizards,127,Atlanta Hawks,99,Box Score,,"17,108",2:14,State Farm Arena,
"Sat, Jan 13, 2024",8:00p,New York Knicks,106,Memphis Grizzlies,94,Box Score,,"16,598",2:02,FedEx Forum,
"Sat, Jan 13, 2024",8:00p,Golden State Warriors,118,Milwaukee Bucks,129,Box Score,,"18,009",2:08,Fiserv Forum,
"Sat, Jan 13, 2024",8:00p,Orlando Magic,100,Oklahoma City Thunder,112,Box Score,,"18,203",2:10,Paycom Center,
"Sat, Jan 13, 2024",8:30p,New Orleans Pelicans,118,Dallas Mavericks,108,Box Score,,"20,155",2:10,American Airlines Center,
"Sat, Jan 13, 2024",8:30p,Chicago Bulls,122,San Antonio Spurs,116,Box Score,,"18,354",2:08,Frost Bank Center,
"Sat, Jan 13, 2024",9:30p,Los Angeles Lakers,125,Utah Jazz,132,Box Score,,"18,206",2:18,Delta Center,
"Sun, Jan 14, 2024",3:30p,Indiana Pacers,109,Denver Nuggets,117,Box Score,,"19,631",2:17,Ball Arena,
"Sun, Jan 14, 2024",6:00p,Charlotte Hornets,87,Miami Heat,104,Box Score,,"19,831",2:14,Kaseya Center,
"Sun, Jan 14, 2024",7:00p,Sacramento Kings,142,Milwaukee Bucks,143,Box Score,OT,"17,612",2:39,Fiserv Forum,
"Sun, Jan 14, 2024",7:00p,Los Angeles Clippers,105,Minnesota Timberwolves,109,Box Score,,"18,024",2:26,Target Center,
"Sun, Jan 14, 2024",9:00p,Phoenix Suns,127,Portland Trail Blazers,116,Box Score,,"18,071",2:13,Moda Center,
"Mon, Jan 15, 2024",1:00p,Houston Rockets,115,Philadelphia 76ers,124,Box Score,,"20,822",2:25,Wells Fargo Center,
"Mon, Jan 15, 2024",2:30p,New Orleans Pelicans,120,Dallas Mavericks,125,Box Score,,"20,010",2:29,American Airlines Center,
"Mon, Jan 15, 2024",3:00p,Orlando Magic,98,New York Knicks,94,Box Score,,"19,812",2:16,Madison Square Garden (IV),
"Mon, Jan 15, 2024",3:00p,Detroit Pistons,129,Washington Wizards,117,Box Score,,"15,156",2:06,Capital One Arena,
"Mon, Jan 15, 2024",3:30p,San Antonio Spurs,99,Atlanta Hawks,109,Box Score,,"17,447",2:17,State Farm Arena,
"Mon, Jan 15, 2024",6:00p,Golden State Warriors,107,Memphis Grizzlies,116,Box Score,,"16,612",2:22,FedEx Forum,
"Mon, Jan 15, 2024",7:00p,Chicago Bulls,91,Cleveland Cavaliers,109,Box Score,,"19,432",2:10,Rocket Mortgage Fieldhouse,
"Mon, Jan 15, 2024",7:30p,Miami Heat,96,Brooklyn Nets,95,Box Score,OT,"17,893",2:28,Barclays Center,
"Mon, Jan 15, 2024",7:30p,Boston Celtics,105,Toronto Raptors,96,Box Score,,"19,278",2:06,Scotiabank Arena,
"Mon, Jan 15, 2024",9:00p,Indiana Pacers,105,Utah Jazz,132,Box Score,,"18,206",2:15,Delta Center,
"Mon, Jan 15, 2024",10:30p,Oklahoma City Thunder,105,Los Angeles Lakers,112,Box Score,,"18,997",2:05,Crypto.com Arena,
"Tue, Jan 16, 2024",7:30p,Denver Nuggets,121,Philadelphia 76ers,126,Box Score,,"19,775",2:28,Wells Fargo Center,
"Tue, Jan 16, 2024",9:00p,Sacramento Kings,117,Phoenix Suns,119,Box Score,,"17,071",2:14,Footprint Center,
"Tue, Jan 16, 2024",10:00p,Oklahoma City Thunder,117,Los Angeles Clippers,128,Box Score,,"19,370",2:20,Crypto.com Arena,
"Wed, Jan 17, 2024",7:00p,Minnesota Timberwolves,124,Detroit Pistons,117,Box Score,,"16,022",2:07,Little Caesars Arena,
